date,index,8 Open_Interest_All,9 Prod_Merc_Positions_Long_All,10 Prod_Merc_Positions_Short_All,11 Swap_Positions_Long_All,12 Swap__Positions_Short_All,14 M_Money_Positions_Long_All,15 M_Money_Positions_Short_All,56 56 Change_in_Open_Interest_All,57 57 Change_in_Prod_Merc_Long_All,58 58 Change_in_Prod_Merc_Short_All,59 59 Change_in_Swap_Long_All,60 60 Change_in_Swap_Short_All,62 62 Change_in_M_Money_Long_All,63 63 Change_in_M_Money_Short_All,73 73 Pct_of_OI_Prod_Merc_Long_All,74 74 Pct_of_OI_Prod_Merc_Short_All,75 75 Pct_of_OI_Swap_Long_All,76 76 Pct_of_OI_Swap_Short_All,78 78 Pct_of_OI_M_Money_Long_All,79 79 Pct_of_OI_M_Money_Short_All,120 120 Traders_Tot_All,121 121 Traders_Prod_Merc_Long_All,122 122 Traders_Prod_Merc_Short_All,123 123 Traders_Swap_Long_All,124 124 Traders_Swap_Short_All,126 126 Traders_M_Money_Long_All,127 127 Traders_M_Money_Short_All,AA_Vintage,AA_Clearing Price,AA_Floor Price,AA_Cleared Above Floor,AA_Percent above Floor,AA_BID Ratio,AA_HHI,AA_Allowances Purchased by Compliance Entities,AA_Volume of Allowances-State,AA_Volume of Allowances-Utility,AA_Revenue-State,AA_Maximum,AA_Minimum,AA_Mean,AA_Median,AA_Allowances Offered,AA_Allowances Cleared,Qualified Bidders(Total)_x,AA_Median allowance price,AA_Speculators Allowances Purchased,AA_Compliance Entities Allowances Purchased,AA_Speculator Buy and Hold,CA_Vintage,CA_Clearing Price,CA_Floor Price,CA_Cleared Above Floor,CA_Percent Above Floor,CA_BID Ratio,CA_HHI,CA_Allowances Purchased by Compliance Entities,CA_Volume of Allowances-State,CA_Volume of Allowances-Utility,CA_Maximum,CA_Minimum,CA_Mean,CA_Median,CA_Allowances Offered,CA_Allowances Cleared,Qualified Bidders(Total)_y,CA_Median allowance price,Speculators Allowances purchased,Compliance Entities Allowances Purchased,Speculator Buy and Hold,Front,Benchmark,Auction Floor,Front_Weekly_min,Front_Weekly_max,1 Market_and_Exchange_Names_CALIF CARBON ALL VINTAGE 2016 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON ALL VINTAGE 2017 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON ALL VINTAGE 2018 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON ALL VINTAGE 2019 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON 21 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON 22 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON VINTAGE 2020 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIFORNIA CARBON ALLOWANCE VINTAGE 2015 - ICE FUTURES ENERGY DIV,CALIF CARBON VINTAGE 2020 - ICE FUTURES ENERGY DIV,CALIF CARBON 22 - ICE FUTURES ENERGY DIV,CALIF CARBON ALLOWANCE V2022 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON 23 - ICE FUTURES ENERGY DIV,CALIF CARBON 23 - ICE FUTURES ENERGY DIV,CALIF CARBON CURRENT AUCTION - ICE FUTURES ENERGY DIV,week_idx
2015-06-02,0.5,19591.0,8658.0,4945.0,0.0,8109.0,0.0,0.0,-3407.0,226.0,-1690.0,0.0,2990.0,0.0,0.0,44.2,25.2,0.0,41.4,0.0,0.0,29.0,5.0,7.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.352,12.53,12.665,12.1,12.53,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23
2015-06-09,5.0,21881.0,8795.0,6020.0,0.0,8185.0,0.0,0.0,2290.0,137.0,1075.0,0.0,76.0,0.0,0.0,40.2,27.5,0.0,37.4,0.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.505714285714285,12.662857142857144,12.1,12.5,12.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2015-06-16,12.0,24900.0,8856.0,6134.0,0.0,8335.0,0.0,0.0,3019.0,61.0,114.0,0.0,150.0,0.0,0.0,35.6,24.6,0.0,33.5,0.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.540000000000001,12.687142857142858,12.1,12.51,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25
2015-06-23,19.0,25980.0,8790.0,6189.0,0.0,8749.0,0.0,0.0,1080.0,-66.0,55.0,0.0,414.0,0.0,0.0,33.8,23.8,0.0,33.7,0.0,0.0,31.0,4.0,7.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.570000000000002,12.718571428571428,12.1,12.56,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26
2015-06-30,26.0,20940.0,8508.0,5501.0,0.0,7886.0,0.0,0.0,-5040.0,-282.0,-688.0,0.0,-863.0,0.0,0.0,40.6,26.3,0.0,37.7,0.0,0.0,27.0,4.0,5.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.607142857142858,12.72,12.1,12.570000000000002,12.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27
2015-07-07,33.0,21766.0,9297.0,5601.0,0.0,8086.0,0.0,0.0,826.0,789.0,100.0,0.0,200.0,0.0,0.0,42.7,25.7,0.0,37.1,0.0,0.0,28.0,4.0,5.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.641428571428573,12.73,12.1,12.64,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28
2015-07-14,40.0,22679.0,9515.0,6201.0,0.0,8229.0,0.0,0.0,913.0,218.0,600.0,0.0,143.0,0.0,0.0,42.0,27.3,0.0,36.3,0.0,0.0,29.0,5.0,5.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.661428571428571,12.742857142857144,12.1,12.66,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29
2015-07-21,47.0,23818.0,9879.0,6566.0,0.0,8269.0,0.0,0.0,1139.0,364.0,365.0,0.0,40.0,0.0,0.0,41.5,27.6,0.0,34.7,0.0,0.0,29.0,5.0,5.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.62142857142857,12.707142857142857,12.1,12.61,12.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30
2015-07-28,54.0,25751.0,10480.0,7211.0,0.0,8410.0,0.0,0.0,1933.0,601.0,645.0,0.0,141.0,0.0,0.0,40.7,28.0,0.0,32.7,0.0,0.0,29.0,5.0,5.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.59,12.679999999999998,12.1,12.58,12.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31
2015-08-04,61.0,24302.0,10640.0,4756.0,0.0,8936.0,0.0,0.0,-1449.0,160.0,-2455.0,0.0,526.0,0.0,0.0,43.8,19.6,0.0,36.8,0.0,0.0,27.0,5.0,6.0,0.0,4.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.540000000000001,12.709999999999999,10431500.0,10431500.0,84.0,12.36,667616.0,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,69904750.72,3172148.3520000004,12.614285714285714,12.698571428571428,12.1,12.59,12.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32
